LM_ID,ABBREVIATION,SYNONYMS
LMGL03016485,TG 61:8,TG(61:8); TG(18:3_21:0_22:5)
LMGL03016486,TG 61:9,TG(61:9); TG(18:3_21:0_22:6)
LMGL03016487,TG 62:4,TG(62:4); TG(18:3_22:0_22:1)
LMGL03016488,TG 62:5,TG(62:5); TG(18:3_22:0_22:2)
LMGL03016489,TG 62:6,TG(62:6); TG(18:3_22:0_22:3)
LMGL03016490,TG 62:7,TG(62:7); TG(18:3_22:0_22:4)
LMGL03016491,TG 62:8,TG(62:8); TG(18:3_22:0_22:5)
LMGL03016492,TG 62:9,TG(62:9); TG(18:3_22:0_22:6)
LMGL03016493,TG 62:6,TG(62:6); TG(18:3_22:1_22:2)
LMGL03016494,TG 62:7,TG(62:7); TG(18:3_22:1_22:3)
LMGL03016495,TG 62:8,TG(62:8); TG(18:3_22:1_22:4)
LMGL03016496,TG 62:9,TG(62:9); TG(18:3_22:1_22:5)
LMGL03016497,TG 62:10,TG(62:10); TG(18:3_22:1_22:6)
LMGL03016498,TG 62:8,TG(62:8); TG(18:3_22:2_22:3)
LMGL03016499,TG 62:9,TG(62:9); TG(18:3_22:2_22:4)
LMGL03016500,TG 62:10,TG(62:10); TG(18:3_22:2_22:5)
LMGL03016501,TG 62:11,TG(62:11); TG(18:3_22:2_22:6)
LMGL03016502,TG 62:10,TG(62:10); TG(18:3_22:3_22:4)
LMGL03016503,TG 62:11,TG(62:11); TG(18:3_22:3_22:5)
LMGL03016504,TG 62:12,TG(62:12); TG(18:3_22:3_22:6)
LMGL03016505,TG 62:12,TG(62:12); TG(18:3_22:4_22:5)
LMGL03016506,TG 62:13,TG(62:13); TG(18:3_22:4_22:6)
LMGL03016507,TG 62:14,TG(62:14); TG(18:3_22:5_22:6)
LMGL03016508,TG 55:7,TG(55:7); TG(18:3_18:4_19:0)
LMGL03016509,TG 55:8,TG(55:8); TG(18:3_18:4_19:1)
LMGL03016510,TG 56:7,TG(56:7); TG(18:3_18:4_20:0)
LMGL03016511,TG 56:8,TG(56:8); TG(18:3_18:4_20:1)
LMGL03016512,TG 56:9,TG(56:9); TG(18:3_18:4_20:2)
LMGL03016513,TG 56:10,TG(56:10); TG(18:3_18:4_20:3)
LMGL03016514,TG 56:11,TG(56:11); TG(18:3_18:4_20:4)
LMGL03016515,TG 56:12,TG(56:12); TG(18:3_18:4_20:5)
LMGL03016516,TG 57:7,TG(57:7); TG(18:3_18:4_21:0)
LMGL03016517,TG 58:7,TG(58:7); TG(18:3_18:4_22:0)
LMGL03016518,TG 58:8,TG(58:8); TG(18:3_18:4_22:1)
LMGL03016519,TG 58:9,TG(58:9); TG(18:3_18:4_22:2)
LMGL03016520,TG 58:10,TG(58:10); TG(18:3_18:4_22:3)
LMGL03016521,TG 58:11,TG(58:11); TG(18:3_18:4_22:4)
LMGL03016522,TG 58:12,TG(58:12); TG(18:3_18:4_22:5)
LMGL03016523,TG 58:13,TG(58:13); TG(18:3_18:4_22:6)
LMGL03016524,TG 56:4,TG(56:4); TG(18:3_19:0_19:1)
LMGL03016525,TG 59:4,TG(59:4); TG(18:3_19:0_22:1)
LMGL03016526,TG 57:4,TG(57:4); TG(18:3_19:1_20:0)
LMGL03016527,TG 57:5,TG(57:5); TG(18:3_19:1_20:1)
LMGL03016528,TG 57:6,TG(57:6); TG(18:3_19:1_20:2)
LMGL03016529,TG 57:7,TG(57:7); TG(18:3_19:1_20:3)
LMGL03016530,TG 57:8,TG(57:8); TG(18:3_19:1_20:4)
LMGL03016531,TG 57:9,TG(57:9); TG(18:3_19:1_20:5)
LMGL03016532,TG 58:4,TG(58:4); TG(18:3_19:1_21:0)
LMGL03016533,TG 59:4,TG(59:4); TG(18:3_19:1_22:0)
LMGL03016534,TG 59:5,TG(59:5); TG(18:3_19:1_22:1)
LMGL03016535,TG 59:6,TG(59:6); TG(18:3_19:1_22:2)
LMGL03016536,TG 59:7,TG(59:7); TG(18:3_19:1_22:3)
LMGL03016537,TG 59:8,TG(59:8); TG(18:3_19:1_22:4)
LMGL03016538,TG 59:9,TG(59:9); TG(18:3_19:1_22:5)
LMGL03016539,TG 59:10,TG(59:10); TG(18:3_19:1_22:6)
LMGL03016540,TG 60:4,TG(60:4); TG(18:3_20:0_22:1)
LMGL03016541,TG 60:5,TG(60:5); TG(18:3_20:1_22:1)
LMGL03016542,TG 60:6,TG(60:6); TG(18:3_20:2_22:1)
LMGL03016543,TG 60:7,TG(60:7); TG(18:3_20:3_22:1)
LMGL03016544,TG 60:8,TG(60:8); TG(18:3_20:4_22:1)
LMGL03016545,TG 60:9,TG(60:9); TG(18:3_20:5_22:1)
